Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 22, 14, 118, [2 7 0 6 4 5 1 ], 71.0, 0.0
2, 23, 17, 113, [2 7 0 6 4 5 1 ], 67.0, 0.0
3, 24, 19, 111, [2 7 0 6 4 5 1 ], 64.0, 0.0
4, 25, 23, 105, [2 7 0 6 4 5 1 ], 60.0, 0.0
5, 27, 25, 104, [2 7 0 6 4 5 1 ], 55.0, 0.0
6, 30, 25, 103, [2 7 0 6 4 5 1 ], 49.0, 0.0
7, 34, 26, 101, [2 7 0 6 4 5 1 ], 42.0, 6.0
8, 37, 28, 95, [2 7 0 6 4 5 1 ], 38.0, 6.0
9, 41, 26, 94, [2 7 0 6 4 5 1 ], 33.0, 6.0
10, 45, 29, 91, [5 3 6 4 2 7 0 ], 29.0, 6.0
11, 48, 29, 86, [6 6 7 5 5 7 4 ], 26.0, 7.0
12, 49, 28, 85, [6 6 7 5 5 7 4 ], 25.0, 6.0
13, 49, 27, 90, [6 6 7 5 5 7 4 ], 24.0, 6.0
14, 49, 26, 94, [6 6 7 5 5 7 4 ], 23.0, 6.0
15, 46, 24, 92, [6 6 7 5 5 7 4 ], 23.0, 7.0
16, 44, 23, 96, [6 6 7 5 5 7 4 ], 24.0, 7.0
17, 41, 24, 94, [6 6 7 5 5 7 4 ], 24.0, 7.0
18, 41, 22, 97, [6 6 7 5 5 7 4 ], 23.0, 7.0
19, 41, 18, 101, [3 0 5 4 1 2 3 ], 23.0, 7.0
20, 43, 20, 103, [6 2 6 2 7 4 3 ], 21.0, 7.0
21, 46, 17, 101, [6 2 6 2 7 4 3 ], 19.0, 7.0
22, 46, 16, 101, [6 2 6 2 7 4 3 ], 18.0, 7.0
23, 45, 15, 101, [6 2 6 2 7 4 3 ], 17.0, 7.0
24, 43, 17, 100, [6 2 6 2 7 4 3 ], 17.0, 8.0
25, 43, 14, 105, [6 2 6 2 7 4 3 ], 16.0, 9.0
26, 43, 17, 101, [6 2 6 2 7 4 3 ], 15.0, 9.0
27, 41, 20, 96, [2 7 0 6 4 5 1 ], 15.0, 9.0
28, 40, 24, 96, [2 7 0 6 4 5 1 ], 13.0, 9.0
29, 38, 24, 96, [1 7 6 0 5 5 6 ], 14.0, 9.0
30, 36, 23, 98, [1 7 6 0 5 5 6 ], 13.0, 9.0
31, 31, 21, 101, [1 7 6 0 5 5 6 ], 15.0, 10.0
32, 31, 24, 103, [1 7 6 0 5 5 6 ], 14.0, 10.0
33, 28, 25, 101, [1 7 6 0 5 5 6 ], 15.0, 10.0
34, 27, 26, 105, [1 7 6 0 5 5 6 ], 15.0, 10.0
35, 24, 29, 101, [2 7 0 6 4 5 1 ], 16.0, 10.0
36, 24, 31, 104, [2 7 0 6 4 5 1 ], 15.0, 11.0
37, 23, 31, 99, [2 7 0 6 4 5 1 ], 15.0, 11.0
38, 24, 32, 101, [4 4 6 5 6 6 3 ], 14.0, 11.0
39, 23, 32, 101, [4 4 6 5 6 6 3 ], 14.0, 11.0
40, 23, 33, 98, [4 4 6 5 6 6 3 ], 14.0, 11.0
41, 22, 35, 97, [4 4 6 5 6 6 3 ], 13.0, 11.0
