Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 21, 11, 120, [5 2 7 7 1 5 4 ], 75.0, 0.0
2, 23, 14, 119, [5 2 7 7 1 5 4 ], 67.0, 0.0
3, 25, 16, 115, [3 5 3 7 3 3 3 ], 62.0, 0.0
4, 26, 19, 109, [3 5 3 7 3 3 3 ], 58.0, 0.0
5, 28, 19, 113, [3 5 3 7 3 3 3 ], 53.0, 0.0
6, 32, 20, 107, [3 5 3 7 3 3 3 ], 46.0, 0.0
