Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 25, 10, 365, [4 0 7 1 3 2 6 ], 18.0, 0.0
2, 27, 15, 362, [6 3 6 2 7 3 1 ], 15.0, 0.0
3, 27, 19, 354, [4 0 7 1 3 2 6 ], 14.0, 0.0
4, 29, 21, 354, [6 3 6 2 7 3 1 ], 12.0, 0.0
5, 30, 22, 354, [4 0 7 1 3 2 6 ], 12.0, 4.0
6, 33, 26, 349, [6 3 6 2 7 3 1 ], 10.0, 4.0
7, 33, 29, 344, [4 0 7 1 3 2 6 ], 10.0, 4.0
8, 31, 29, 342, [4 0 7 1 3 2 6 ], 11.0, 6.0
9, 28, 33, 343, [4 0 7 1 3 2 6 ], 12.0, 7.0
10, 28, 33, 345, [4 0 7 1 3 2 6 ], 13.0, 7.0
11, 26, 34, 344, [4 0 7 1 3 2 6 ], 16.0, 8.0
