Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
49, 13, 3, 384, [4 1 0 1 3 7 5 ], 21.0, 11.0
36, 20, 2, 379, [2 4 3 7 7 3 3 ], 26.0, 11.0
50, 11, 2, 387, [4 1 0 1 3 7 5 ], 26.0, 14.0
37, 20, 2, 379, [2 4 3 7 7 3 3 ], 25.0, 11.0
51, 11, 2, 387, [4 1 0 1 3 7 5 ], 25.0, 14.0
38, 19, 2, 379, [2 4 3 7 7 3 3 ], 25.0, 10.0
52, 11, 2, 387, [4 1 0 1 3 7 5 ], 23.0, 14.0
39, 18, 2, 380, [2 4 3 7 7 3 3 ], 25.0, 10.0
53, 10, 2, 388, [4 1 0 1 3 7 5 ], 24.0, 15.0
40, 16, 2, 382, [7 5 2 5 5 5 5 ], 28.0, 10.0
54, 10, 2, 388, [4 1 0 1 3 7 5 ], 23.0, 15.0
41, 16, 2, 382, [7 5 2 5 5 5 5 ], 27.0, 10.0
55, 10, 2, 388, [4 1 0 1 3 7 5 ], 21.0, 15.0
42, 16, 2, 382, [6 5 0 4 0 3 7 ], 26.0, 10.0
56, 10, 2, 389, [4 1 0 1 3 7 5 ], 20.0, 15.0
43, 16, 2, 382, [6 5 0 4 0 3 7 ], 24.0, 10.0
57, 9, 2, 389, [4 1 0 1 3 7 5 ], 22.0, 17.0
44, 15, 2, 383, [7 5 2 5 5 5 5 ], 25.0, 11.0
58, 8, 2, 390, [4 1 0 1 3 7 5 ], 23.0, 18.0
45, 15, 2, 383, [6 5 0 4 0 3 7 ], 24.0, 11.0
