Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 25, 8, 367, [6 6 6 2 3 1 7 ], 19.0, 0.0
2, 25, 12, 363, [6 6 6 2 3 1 7 ], 19.0, 0.0
3, 25, 17, 358, [6 6 6 2 3 1 7 ], 17.0, 0.0
4, 26, 21, 355, [6 6 6 2 3 1 7 ], 16.0, 0.0
5, 27, 23, 352, [6 6 6 2 3 1 7 ], 17.0, 0.0
6, 28, 25, 349, [6 6 6 2 3 1 7 ], 16.0, 0.0
7, 28, 29, 346, [6 6 6 2 3 1 7 ], 15.0, 0.0
8, 28, 30, 343, [6 6 6 2 3 1 7 ], 15.0, 0.0
9, 29, 30, 343, [6 6 6 2 3 1 7 ], 17.0, 0.0
10, 30, 30, 343, [6 6 6 2 3 1 7 ], 17.0, 0.0
11, 31, 34, 338, [6 6 6 2 3 1 7 ], 17.0, 0.0
12, 32, 36, 336, [6 2 1 3 5 6 2 ], 16.0, 0.0
13, 32, 34, 338, [6 2 1 3 5 6 2 ], 19.0, 12.0
14, 32, 33, 340, [6 2 1 3 5 6 2 ], 21.0, 12.0
15, 32, 36, 336, [6 2 1 3 5 6 2 ], 20.0, 12.0
16, 30, 38, 340, [6 2 1 3 5 6 2 ], 21.0, 14.0
17, 29, 38, 335, [6 2 1 3 5 6 2 ], 22.0, 15.0
18, 27, 39, 336, [6 2 1 3 5 6 2 ], 24.0, 14.0
19, 25, 38, 340, [6 6 6 2 3 1 7 ], 28.0, 14.0
20, 24, 42, 338, [6 6 6 2 3 1 7 ], 29.0, 14.0
21, 23, 42, 339, [7 2 7 4 2 0 0 ], 31.0, 15.0
22, 22, 43, 336, [7 2 7 4 2 0 0 ], 34.0, 15.0
23, 22, 43, 336, [7 2 7 4 2 0 0 ], 36.0, 15.0
24, 23, 45, 338, [7 2 7 4 2 0 0 ], 35.0, 15.0
25, 22, 46, 334, [7 2 7 4 2 0 0 ], 37.0, 15.0
26, 21, 48, 333, [7 2 7 4 2 0 0 ], 39.0, 15.0
27, 21, 52, 329, [7 2 7 4 2 0 0 ], 39.0, 15.0
