Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 26, 10, 366, [0 5 7 3 5 5 2 ], 17.0, 0.0
2, 27, 15, 360, [0 5 7 3 5 5 2 ], 16.0, 0.0
3, 29, 17, 359, [7 0 1 4 7 2 5 ], 14.0, 0.0
4, 30, 21, 352, [0 5 7 3 5 5 2 ], 13.0, 0.0
5, 30, 23, 349, [7 0 1 4 7 2 5 ], 12.0, 0.0
6, 30, 26, 346, [7 0 1 4 7 2 5 ], 12.0, 0.0
7, 31, 27, 346, [7 0 1 4 7 2 5 ], 12.0, 0.0
8, 30, 27, 349, [7 0 1 4 7 2 5 ], 15.0, 7.0
9, 29, 27, 347, [7 0 1 4 7 2 5 ], 17.0, 8.0
10, 29, 30, 344, [7 0 1 4 7 2 5 ], 16.0, 8.0
11, 29, 33, 342, [7 0 1 4 7 2 5 ], 16.0, 8.0
12, 28, 35, 340, [7 0 1 4 7 2 5 ], 16.0, 9.0
13, 26, 34, 343, [0 5 7 3 5 5 2 ], 20.0, 10.0
14, 24, 36, 344, [7 6 1 0 2 1 7 ], 23.0, 11.0
15, 20, 40, 342, [4 0 2 4 6 2 5 ], 26.0, 12.0
16, 18, 44, 339, [7 6 1 0 2 1 7 ], 30.0, 12.0
17, 18, 49, 334, [7 6 1 0 2 1 7 ], 29.0, 12.0
18, 18, 51, 332, [7 6 1 0 2 1 7 ], 30.0, 12.0
19, 17, 52, 333, [4 0 2 4 6 2 5 ], 33.0, 13.0
20, 16, 52, 334, [4 0 2 4 6 2 5 ], 36.0, 13.0
21, 16, 54, 331, [4 0 2 4 6 2 5 ], 37.0, 13.0
22, 16, 54, 331, [4 0 2 4 6 2 5 ], 40.0, 13.0
23, 15, 55, 331, [4 0 2 4 6 2 5 ], 44.0, 13.0
24, 15, 56, 330, [7 6 1 0 2 1 7 ], 44.0, 13.0
25, 15, 56, 330, [4 0 2 4 6 2 5 ], 48.0, 13.0
26, 15, 58, 330, [4 0 2 4 6 2 5 ], 48.0, 13.0
